location_mentioned,latitude,model_confidence,longitude,original_text,uri,author,indexed_at,help_request,disaster_type,severity_level,processed_at
Los Angeles,34.0522,0.85,-118.2437,Gov. Gavin Newsom's invitation says people deserve to see them work together on LA fires. Experts: Donald Trump has the power to slow aid. via @calmatters.org,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfku64ry5s2k,npr.org,2025-01-12 18:31:13.254+00,false,fire,medium,2025-10-29 11:17:00.504+00
California,36.7783,0.92,-121.4936,These photos chronicle the catastrophic scale of destruction from wildfires in California that started on January 7.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfna57qcjk2h,npr.org,2025-01-13 17:10:46.858+00,false,fire,high,2025-10-29 11:27:00.722+00
"California, Los Angeles region",34.0522,0.92,-118.2437,California's insurance industry was already in crisis. Now the wildfires in the Los Angeles region may upend efforts to stabilize the market.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfplrqicgs22,npr.org,2025-01-14 15:44:26.261+00,false,fire,high,2025-10-29 11:37:01.18+00
Los Angeles,34.0522,0.85,-118.2437,Influencers and politicians are spreading false narratives about water and the L.A. wildfires. These include the idea that farm moguls took firefighting water and an empty reservoir is part of a plot.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfsipdw6is2q,npr.org,2025-01-15 19:27:23.754+00,false,fire,medium,2025-10-29 11:53:01.73+00
the Rockies eastward,,0.75,,"Bundle up and prepare: People living ""basically anywhere from the Rockies eastward"" will see extremely cold temperatures over the next several days, a meteorologist says.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lfxfccwg5c2d,npr.org,2025-01-17 18:09:44.059+00,false,extreme_heat,medium,2025-10-29 12:19:01.287+00
Metro Nashville,36.1627,0.95,-86.7711,Metro Nashville Police Department says the shooting took place in the school’s cafeteria. Officers says a 17-year boy shot two female students and then himself. via @wpln.bsky.social,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lgeb7ymqpc26,npr.org,2025-01-22 21:01:28.25+00,false,shooting,high,2025-10-29 13:17:00.516+00
Los Angeles,34.0522,0.92,-118.2437,President Trump and others are spreading false narratives about water and the LA wildfires. These include the notion that the city didn't have enough water to fight the fires.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lgjf5mjyhk2o,npr.org,2025-01-24 21:55:01.66+00,false,fire,high,2025-10-29 13:41:00.492+00
"Altadena, Calif.",34.2136,0.92,-118.2851,"Many residents in Altadena, Calif., evacuated not knowing it would be the last time they would see their homes standing. Their decisions about what possessions to take were rushed — or not made at all.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lglnouz5k22d,npr.org,2025-01-25 19:33:10.755+00,false,fire,high,2025-10-29 13:51:01.481+00
Ronald Reagan Washington National Airport,39.1143,0.92,-77.5314,"A regional jet carrying 64 people collided in midair with a Black Hawk helicopter as the plane was approaching a runway at Ronald Reagan Washington National Airport on Wednesday night, according to federal aviation officials.

Here's what we know:",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lgxfunzgwk2v,npr.org,2025-01-30 11:45:10.852+00,false,other_disaster,high,2025-10-29 14:39:00.566+00
Pacific Palisades,34.0333,0.95,-118.476,"The Pacific Palisades and surrounding areas will reopen after the Palisades Fire tore through nearly 40 square miles of homes, commercial areas and wilderness – more than three weeks after the fire started in early January. Both the Palisades and Eaton fires are now 100% contained.
via @laist.com",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lh5i6fl7cc2t,npr.org,2025-02-01 21:42:24.364+00,false,fire,high,2025-10-29 15:03:00.606+00
Los Angeles,34.0522,0.85,-118.2437,"After thousands of homes were destroyed, many are looking for ways to make Los Angeles safer from wildfires. But clearing dense shrubs on the hillsides could actually make the fire danger worse.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3lhwckgnw722q,npr.org,2025-02-11 18:38:19.051+00,false,other_disaster,high,2025-10-29 16:25:01.814+00
"Kansas, Missouri",,0.75,,"A high-pressure system is pushing Arctic air into the central U.S. this week. 

Much of the country will experience plunging temperatures, while states such as Kansas and Missouri could see heavy snow.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3liff546lec2q,npr.org,2025-02-17 18:34:22.757+00,false,extreme_heat,medium,2025-10-29 17:23:00.698+00
Los Angeles,34.0522,0.92,-118.2437,"We’re lifting permitting requirements, speeding rebuilding, and helping survivors recover from the LA firestorms.

My office will ensure that red tape and bureaucracy will not hinder the quick recovery of these incredible communities. www.gov.ca.gov/2025/01/24/h...",at://did:plc:mojhr33bx3rw4dxxpehd32qz/app.bsky.feed.post/3lgobkxqa6c2d,governor.ca.gov,2025-01-26 20:34:12.556+00,false,fire,high,2025-10-29 14:01:00.518+00
,,0.85,,"Last week, DFS hosted a 2-day Active Shooter / Hostile Event Response training with MPTC and ALERRT Center. About 30 police and fire personnel took part in classroom lectures and integrated response scenarios to #StopTheKilling and #StopTheDying. Great work by instructors and students!",at://did:plc:mskbjatmqfrfqbxicxqo47ok/app.bsky.feed.post/3lgg2fvuzjc2u,massdfs.bsky.social,2025-01-23 14:04:56.758+00,false,shooting,medium,2025-10-29 13:21:00.486+00
"Lakeville, MA",42.1965,0.85,-71.1097,"DFS Special Operations staff delivered Rehab 6 to support the #LakevilleMA Fire Department in single-digit temps last week. Learn how our Rehab units and other Special Ops assets can support your local fire department 24 hours a day, 7 days a week: ow.ly/9A8950UNJ5Y",at://did:plc:mskbjatmqfrfqbxicxqo47ok/app.bsky.feed.post/3lgqqav6xsk26,massdfs.bsky.social,2025-01-27 20:02:21.666+00,false,fire,medium,2025-10-29 14:11:01.607+00
"Concord, MA",42.7307,0.92,-71.4833,DFS Special Operations staff supported #ConcordMA FD with a Rehab Unit and a drone at their 2-alarm house fire last week. These and other assets are available to support firefighter health/safety and assist incident commanders at large-scale or long-duration incidents: www.mass.gov/info-details...,at://did:plc:mskbjatmqfrfqbxicxqo47ok/app.bsky.feed.post/3lhlewvnusk2i,massdfs.bsky.social,2025-02-07 10:21:48.551+00,false,fire,medium,2025-10-29 15:53:01.02+00
"Lynn, MA",42.4075,0.95,-70.9646,"#Remember: 130 years ago today, a fire at the Hutchinson Hardware Store claimed the lives of #LynnMA Fire Dep’t Capt. Henry Skinner, Firefighter John Donlan, Firefighter Abraham Moody Jr, & Firefighter Thomas Murray. We honor their ultimate sacrifice and the loved ones left behind.",at://did:plc:mskbjatmqfrfqbxicxqo47ok/app.bsky.feed.post/3li2jkax6ck2k,massdfs.bsky.social,2025-02-13 10:54:06.154+00,false,fire,high,2025-10-29 16:47:01.01+00
RI,,0.95,,"#Remember: On this date in 2003, the devastating fire at #TheStation in RI, claimed 100 lives. Massachusetts adopted many life-saving measures in response, including #Sprinkler and #CrowdManager requirements for nightclubs, but we still need to stay aware in clubs and elsewhere.",at://did:plc:mskbjatmqfrfqbxicxqo47ok/app.bsky.feed.post/3limfm75am22p,massdfs.bsky.social,2025-02-20 13:31:33.752+00,false,fire,high,2025-10-29 17:53:01.488+00
Springfield,,0.92,,DFS Special Operations staff recently delivered Rehab 5 to support the Springfield Fire Department as they battled an early-morning two-alarm fire in the freezing cold. These & other operational support resources are always available to local fire departments. Visit ow.ly/vr8A50V0exI to learn more!,at://did:plc:mskbjatmqfrfqbxicxqo47ok/app.bsky.feed.post/3lios4dfkf22t,massdfs.bsky.social,2025-02-21 12:20:41.747+00,false,fire,medium,2025-10-29 18:03:00.618+00
South Texas,27.7663,0.92,-97.6673,A hurricane and winter freeze devastated the South Texas industry. A lack of water is preventing a full recovery.,at://did:plc:n7u766adhvrdsnmcjegb3eaz/app.bsky.feed.post/3le3abzx63e2d,sacurrent.bsky.social,2024-12-24 20:00:19.852+00,false,hurricane,high,2025-10-29 09:27:00.713+00
California,,0.85,,"CBS has posted the clearest fire maps I've seen, courtesy of @calfire.bsky.social. www.cbsnews.com/news/califor...",at://did:plc:nfe6oq43s5eymmj3bhhp7fbo/app.bsky.feed.post/3lffic2jaz226,raatz.bsky.social,2025-01-10 15:15:24.35+00,false,fire,medium,2025-10-29 10:53:00.701+00
"FranklinFire, Los Angeles County",,0.92,,"The #FranklinFire has not seen any growth in several days and, as of this morning, containment is up to 54%. As containment increases, CAL FIRE Incident Management Team 4 continues to work with Los Angeles County Fire and other cooperating agencies to ensure that returning residents are safe.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3ldhgm5tiks2i,calfire.bsky.social,2024-12-16 23:00:17.051+00,false,fire,medium,2025-10-29 08:47:01.368+00
Ventura County and Western Los Angeles,34.2713,0.85,-118.7972,"A #RedFlagWarning is in effect for Ventura County and Western Los Angeles from 3 PM Tuesday to 6 PM Wednesday due to moderate to strong Santa Ana winds and low humidity.
🔥 Stay alert for wildfire risks.
🚫 Avoid activities that could spark fires.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3ldhm6aeekk2i,calfire.bsky.social,2024-12-17 00:39:44.456+00,false,other_disaster,medium,2025-10-29 08:49:00.709+00
Los Angeles County,34.0522,0.95,-118.2437,"CAL FIRE Incident Management Team 2 has been activated to the #PalisadesFire in Los Angeles County and will assume command on Wednesday morning, January 8. As of this evening (1/7), the fire has burned over 1,200 acres. #CritcalFireWeather is expected over southern California through Thursday.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lf73tfamus2g,calfire.bsky.social,2025-01-08 02:16:27.253+00,false,fire,high,2025-10-29 10:39:00.549+00
Southern California,,0.92,,"CAL FIRE is battling multiple wildfires across
Southern California.
Just ten days into 2025, there have been more than
90 wildfires. Here is a summary of the major fires
burning in Southern California, including the
#PalisadesFire, #EatonFire and #KennethFire
youtube.com/shorts/HF1rP...",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lffxrqrrx222,calfire.bsky.social,2025-01-10 19:52:34.15+00,false,other_disaster,high,2025-10-29 10:57:00.686+00
Acton Area (LA County),,0.95,,"#LidiaFire
* Acton Area (LA County)
* 395 acres, 100% contained
www.fire.ca.gov/incidents/20...",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfi6pyok6s2n,calfire.bsky.social,2025-01-11 17:02:08.815+00,false,fire,medium,2025-10-29 11:05:00.53+00
California,36.7783,0.92,-119.4179,"For the most up-to-date emergency information and evacuation updates, please visit:
🔗 www.fire.ca.gov

Please continue to heed evacuation orders and warnings. Learn more at www.ReadyForWildfire.org",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfj7sb3xa322,calfire.bsky.social,2025-01-12 03:22:58.446+00,false,fire,high,2025-10-29 11:13:00.621+00
North Pasadena and Altadena (LA County),,0.95,,"🔥Incident Updates (1/12/2025 AM)

#EatonFire
* North Pasadena and Altadena  (LA County)
* 14,117 acres, 27% contained
 www.fire.ca.gov/incidents/20...",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfkqo2ie3k2q,calfire.bsky.social,2025-01-12 17:28:32.051+00,false,fire,high,2025-10-29 11:15:00.583+00
North Pasadena and Altadena (LA County),,0.95,,"🔥Incident Updates (1/12/2025 PM)
 
#EatonFire
* North Pasadena and Altadena  (LA County)
* 14,117 acres, 27% contained
  www.fire.ca.gov/incidents/20...
🧵",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfltfui2fc2y,calfire.bsky.social,2025-01-13 03:50:18.352+00,false,fire,high,2025-10-29 11:23:00.731+00
Southern California,34.0522,0.95,-118.2437,"Southern California is facing critical fire weather through Wednesday.
Much of Southern California — from San Luis Obispo to San Diego — is at significant risk of rapid fire spread due to life-threatening winds and dangerously low humidity.
One less spark equals one less wildfire.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfnpu2f7ms2r,calfire.bsky.social,2025-01-13 21:51:59.657+00,false,fire,high,2025-10-29 11:31:00.602+00
North Pasadena and Altadena (LA County),,0.95,,"🔥Incident Updates (1/13/2025 PM)
 
#EatonFire
* North Pasadena and Altadena  (LA County)
* 14,117 acres, 33% contained
 www.fire.ca.gov/incidents/20...",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfo7xs6nek2a,calfire.bsky.social,2025-01-14 02:40:24.057+00,false,fire,high,2025-10-29 11:33:00.743+00
Los Angeles,34.0522,0.92,-118.2437,"CAL FIRE and the entire response team are deeply grateful for the support received from our state, federal, international, and tribal partners. Special thanks also to the #LosAngeles community & individuals around the 🌎  who have stepped forward to offer help during this critical time. #LAFires",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfss4n665k2h,calfire.bsky.social,2025-01-15 22:15:55.26+00,false,fire,high,2025-10-29 11:57:00.635+00
null,,0.85,,"Making sure that major fires and disasters are properly staffed with firefighting resources is more involved than you may think! Watch this video to learn more about how we get resources to the right location. 
#WildfirePreparedness #CALFIRE #EmergencyResponse #LAFires

youtu.be/Ylm5HpL1VEE",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfsw35afrs2i,calfire.bsky.social,2025-01-15 23:26:39.364+00,false,fire,medium,2025-10-29 11:59:00.564+00
California,,0.85,,"Wildfire updates: fire.ca.gov
Learn more about everything from preparing to evacuate to returning home after a fire at: ReadforWildfire.org 
#WildfireUpdates #CALFIRE #FireSafety",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lft6l2yv7c2v,calfire.bsky.social,2025-01-16 01:58:41.37+00,false,fire,medium,2025-10-29 12:01:00.596+00
North Pasadena and Altadena (LA County),34.1521,0.95,-118.134,"#EatonFire
www.fire.ca.gov/incidents/20...
* North Pasadena and Altadena  (LA County)
* 14,117 acres, 55% contained",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfvswzvjxc24,calfire.bsky.social,2025-01-17 03:08:36.166+00,false,fire,high,2025-10-29 12:15:00.711+00
Pacific Palisades (LA County),34.0362,0.95,-118.4764,"🔥Incident Updates (1/17/2025 AM)
 
#PalisadesFire
www.fire.ca.gov/incidents/20...
* Pacific Palisades (LA County)
* 23,713 acres, 31% contained",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lfx6h353ak2x,calfire.bsky.social,2025-01-17 16:07:08.153+00,false,fire,high,2025-10-29 12:17:00.617+00
California,,0.85,,"How will YOU know when you’re allowed to return home? 

Find your zone on the CAL FIRE 3D map at Fire.ca.gov/incidents. 

Download the app and find out your zone and get alerts when it’s status changes.
protect.genasys.com/download",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lg2d4mfx622i,calfire.bsky.social,2025-01-18 22:08:44.557+00,false,fire,medium,2025-10-29 12:33:00.715+00
Los Angeles,34.0522,0.92,-118.2437,"In this CAL FIRE update, Deputy State Fire Marshal Brice Bennett reports on the progress firefighters are making against the #PalisadesFire and #EatonFire in Los Angeles.
youtu.be/qoBROZcHfj4",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lg4prbekuk2x,calfire.bsky.social,2025-01-19 21:00:21.454+00,false,fire,high,2025-10-29 12:41:01.283+00
"Los Angeles, Ventura, Riverside, San Bernardino, Orange, and San Diego Counties",,0.85,,"A #RedFlagWarning is in effect from Monday morning through Tuesday evening over much of Los Angeles, Ventura, Riverside, San Bernardino, Orange, and San Diego Counties due to strong gusty offshore winds and low relative humidity.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lg6n4fdmbs2p,calfire.bsky.social,2025-01-20 15:18:11.366+00,false,severe_storm,medium,2025-10-29 12:47:00.566+00
California,,0.95,,"
 
CAL FIRE and local partners continue to surge resources into the region for the initial attack of new fires. 
 
For the most up-to-date emergency information and evacuation updates, please visit: 🔗 www.fire.ca.gov
#CALFIRE  #LAwildfires  #CAwildfires",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lgbfjc2wkc22,calfire.bsky.social,2025-01-21 17:40:13.44+00,false,fire,high,2025-10-29 13:01:00.581+00
California,36.7783,0.92,-119.4179,This real-time data is essential for our advanced 3D mapping process and helps us fight wildfires smarter and safer by giving Incident Commanders on the ground real-time intelligence. Learn more at:  www.fire.ca.gov/what-we-do/f...,at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lgc2rm5yoc2m,calfire.bsky.social,2025-01-22 00:00:40.797+00,false,fire,high,2025-10-29 13:07:00.599+00
"Los Angeles, Ventura, Orange, San Bernardino, Riverside, and San Diego Counties",,0.85,,"A Red Flag Warning is in effect through Thursday, 8 p.m. for areas of Los Angeles, Ventura, Orange, San Bernardino, Riverside, and San Diego Counties for extremely low relative humidity and periods of gusty offshore winds.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lgdqec5jvs22,calfire.bsky.social,2025-01-22 15:59:36.902+00,false,extreme_heat,medium,2025-10-29 13:11:00.643+00
Pacific Palisades (LA County),34.03,0.95,-118.49,"#PalisadesFire
 www.fire.ca.gov/incidents/20...
* Pacific Palisades (LA County)
* 23,448 acres, 72% contained
 
#CALFIRE  #LAwildfires  #CAwildfires",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lggev7phcs2d,calfire.bsky.social,2025-01-23 17:12:18.373+00,false,fire,high,2025-10-29 13:23:00.676+00
LA County,34.0522,0.95,-118.2437,"Recent LA County wildfires, including the wind-driven #HughesFire, have demanded a massive aerial response. Over 60 aircraft have dropped over 3.1M gallons of water and 595K gallons of retardant since Jan. 7. Unified efforts continue to protect lives and communities. #CALFIRE #LAFires",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lggwv3f5p22m,calfire.bsky.social,2025-01-23 22:34:23.551+00,false,fire,high,2025-10-29 13:29:01.157+00
"Castaic area (LA County), Pacific Palisades (LA County)",,0.95,,"🔥Incident Updates – (1/23/2025 PM)
 
#HughesFire 
www.fire.ca.gov/incidents/20... 
* Castaic area (LA County)
* 10,396 acres, 36% contained
 
#PalisadesFire
www.fire.ca.gov/incidents/20...
* Pacific Palisades (LA County)
* 23,448 acres, 77% contained",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lghgstq5k22b,calfire.bsky.social,2025-01-24 03:19:27.657+00,false,fire,high,2025-10-29 13:31:01.005+00
South of La Jolla (San Diego County),32.8542,0.95,-117.2086,"#GilmanFire (FINAL)
www.fire.ca.gov/incidents/20...
* South of La Jolla (San Diego County)
*2 acres, 100% contained",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lgiuermrgk2d,calfire.bsky.social,2025-01-24 16:54:46.431+00,false,fire,low,2025-10-29 13:35:00.654+00
Camarillo (Ventura County),,0.95,,"#LagunaFire
www.fire.ca.gov/incidents/20...
* Camarillo (Ventura County)
* 83 acres, 90% contained
* Forward progress stopped",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lglegxl5gs2r,calfire.bsky.social,2025-01-25 16:47:38.829+00,false,fire,medium,2025-10-29 13:47:00.638+00
California,,0.85,," Join the CAL FIRE team! 
We’re hiring approximately 150 temporary Defensible Space Inspectors (Forestry Aides) statewide. In this vital role, you’ll conduct defensible space inspections and educate the public on fire prevention, helping to protect California communities.
youtu.be/t1Qmgl-YRqo?...",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lgljaej7dt2r,calfire.bsky.social,2025-01-25 18:13:28.555+00,false,fire,medium,2025-10-29 13:49:00.853+00
,,0.75,,"These fast-moving flows of mud, rocks, and debris can pose serious dangers to roads and homes. Stay prepared and alert!",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lgluoc7huc2v,calfire.bsky.social,2025-01-25 21:38:05.185+00,false,other_disaster,medium,2025-10-29 13:53:00.833+00
Camarillo (Ventura County),,0.9,,"#Laguna Fire (FINAL)
www.fire.ca.gov/incidents/20...
* Camarillo (Ventura County)
* 83 acres, 100% contained
 
Precipitation into Monday for areas of Southern CA. With rain in the forecast, it’s important to stay alert to the increased risk of debris flows in areas recently impacted by #wildfires.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lgovmnm7oc24,calfire.bsky.social,2025-01-27 02:33:03.486+00,false,fire,medium,2025-10-29 14:03:00.439+00
Nevada-Yuba-Placer Unit,,0.65,,"Now the Unit Chief for CAL FIRE’s Nevada-Yuba-Placer Unit (NEU), Estes has found unexpected ways to channel his creativity into leadership, problem-solving, and firefighting innovation.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lhc2umvcp22g,calfire.bsky.social,2025-02-03 17:27:34.671+00,false,fire,low,2025-10-29 15:15:00.568+00
California,36.1699,0.85,-119.7428,"The numbers may change from year to year, but humans remain the leading cause of fire. Don’t be that person!
Learn what you can do to prevent wildfire at: PreventWildfireCA.org
#wildfireprevention #ReadyForWildfire #wildfirestats",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lhgxgmexwc2z,calfire.bsky.social,2025-02-05 16:09:22.362+00,false,fire,medium,2025-10-29 15:31:00.967+00
Tehama and Glenn Counties,,0.85,,"The CAL FIRE Tehama-Glenn Unit (TGU) protects the diverse landscapes of Tehama and Glenn Counties, including valleys, rolling foothills, & forested areas. TGU is responsible for the fire protection of nearly two million acres and serves the residents of these counties with dedication and expertise.",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lhhdq7r3vc2u,calfire.bsky.social,2025-02-05 19:49:30.063+00,false,fire,medium,2025-10-29 15:35:00.812+00
California,,0.75,,"In 2024, CAL FIRE continued its strong dedication to safeguarding California’s communities, landscapes, and residents. 
youtu.be/hoz8Uaah3Ck
#CALFIRE #firefighters",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lhm4fmkzqk2q,calfire.bsky.social,2025-02-07 17:21:35.354+00,false,fire,medium,2025-10-29 15:55:01.136+00
California,,0.85,,"For anyone living in areas susceptible to flooding, it's important to #StayReady by preparing a ""go bag,"" visiting listoscalifornia.org/alerts to find out where to sign up for your local alerts, and following evacuation warnings and orders issued in your area. 
#CAWx",at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3li3ut6v5os2l,calfire.bsky.social,2025-02-13 23:48:36.561+00,false,flood,medium,2025-10-29 16:59:00.596+00
,,0.75,,The next post shares the key differences between the fire-hardened structure used in the demo and the structure utilizing traditional home building standards *: ⬇️,at://did:plc:s7m23v3i3igygvbmjoasg63j/app.bsky.feed.post/3lipbhr7b222r,calfire.bsky.social,2025-02-21 16:55:27.365+00,false,fire,medium,2025-10-29 18:05:00.571+00